lat,lon,radiance,bortle
33.05,130.42,1.8404,4
33.05,130.43,6.8504,6
33.05,130.44,13.8329,7
33.05,130.45,7.4926,6
33.05,130.46,7.9751,6
33.05,130.47,13.5312,7
33.05,130.48,4.6512,5
33.05,130.49,2.1009,4
33.05,130.5,1.4681,4
33.05,130.51,1.1976,4
33.05,130.53,1.0975,4
33.05,130.54,0.9275,3
33.05,130.55,1.0548,4
33.05,130.56,2.1352,4
33.05,130.57,1.0224,4
33.05,130.58,0.7298,3
33.05,130.61,0.6257,3
33.05,130.65,0.8733,3
33.05,130.66,1.2372,4
33.05,130.67,0.6943,3
33.05,130.68,0.8056,3
33.05,130.69,1.2386,4
33.05,130.7,0.6633,3
33.05,130.76,0.5828,3
33.06,125.87,0.649,3
33.06,125.88,0.8181,3
33.06,125.9,0.8591,3
33.06,125.91,3.9613,5
33.06,125.92,5.9764,6
33.06,125.93,3.7054,5
33.06,126.1,14.7684,7
33.06,126.11,13.0589,7
33.06,126.13,5.9194,6
33.06,126.14,13.2259,7
33.06,126.15,5.9771,6
33.06,126.16,13.783,7
33.06,126.17,16.4309,7
33.06,126.18,9.2413,6
33.06,126.19,5.7427,6
33.06,126.2,4.6263,5
33.06,126.21,5.1439,6
33.06,126.22,6.316,6
33.06,126.23,6.5228,6
33.06,126.34,9.6394,6
33.06,126.35,1.2373,4
33.06,129.61,0.6154,3
33.06,129.62,0.8045,3
33.06,129.63,4.1216,5
33.06,129.64,0.8831,3
33.06,129.65,0.6547,3
33.06,129.66,0.5943,3
33.06,129.67,0.7885,3
33.06,129.68,0.6177,3
33.06,129.69,0.7704,3
33.06,129.7,1.4947,4
33.06,129.71,0.8968,3
33.06,129.72,0.7479,3
33.06,129.75,0.9126,3
33.06,129.76,2.2108,4
33.06,129.77,1.2062,4
33.06,129.78,0.7895,3
33.06,129.82,0.695,3
33.06,129.83,0.8925,3
33.06,129.84,2.2679,4
33.06,129.85,2.8498,5
33.06,129.86,1.4615,4
33.06,129.87,1.4727,4
33.06,129.88,1.0298,4
33.06,129.89,1.368,4
33.06,129.9,0.938,3
33.06,129.93,0.6653,3
33.06,129.94,0.7431,3
33.06,129.95,0.9898,3
33.06,129.96,0.8279,3
33.06,129.97,0.6511,3
33.06,129.98,0.5869,3
33.06,130.15,0.5864,3
33.06,130.16,1.7558,4
33.06,130.17,0.7358,3
33.06,130.18,0.5525,3
33.06,130.42,1.2781,4
33.06,130.43,2.3133,4
33.06,130.44,19.2808,7
33.06,130.45,7.3938,6
33.06,130.46,5.7535,6
33.06,130.47,7.7467,6
33.06,130.48,4.1007,5
33.06,130.49,1.9076,4
33.06,130.5,1.2851,4
33.06,130.54,1.9461,4
33.06,130.55,1.4353,4
33.06,130.56,0.9361,3
33.06,130.65,0.6662,3
33.06,130.66,0.8314,3
33.06,130.67,0.5891,3
33.06,130.68,0.5722,3
33.06,130.69,0.8428,3
33.06,130.7,0.6577,3
33.07,126.1,20.5077,7
33.07,126.11,13.6614,7
33.07,126.13,20.462,7
33.07,126.14,8.7774,6
33.07,126.15,8.2023,6
33.07,126.16,8.5929,6
33.07,126.17,12.4344,7
33.07,126.18,3.945,5
33.07,126.2,8.7977,6
33.07,126.21,4.4241,5
33.07,126.22,6.9719,6
33.07,126.25,6.4042,6
33.07,126.26,4.0788,5
33.07,126.96,0.5115,3
33.07,129.67,0.7372,3
33.07,129.68,1.0002,4
33.07,129.69,0.7565,3
33.07,129.7,0.7266,3
33.07,129.71,0.8527,3
33.07,129.72,0.8172,3
33.07,129.73,0.8124,3
33.07,129.74,0.8252,3
33.07,129.75,0.9556,3
33.07,129.76,1.5378,4
33.07,129.77,2.1298,4
33.07,129.78,1.1268,4
33.07,129.79,0.9199,3
33.07,129.8,0.8316,3
33.07,129.81,1.0516,4
33.07,129.82,1.555,4
33.07,129.83,1.8133,4
33.07,129.84,2.1217,4
33.07,129.85,2.2297,4
33.07,129.86,4.8026,5
33.07,129.87,8.2716,6
33.07,129.88,1.6106,4
33.07,129.89,0.8117,3
33.07,129.9,0.7044,3
33.07,129.95,0.5428,3
33.07,129.96,1.2894,4
33.07,129.97,0.719,3
33.07,130.02,0.5259,3
33.07,130.03,0.5885,3
33.07,130.1,0.6396,3
33.07,130.11,1.403,4
33.07,130.12,0.765,3
33.07,130.13,0.6575,3
33.07,130.14,1.0303,4
33.07,130.15,1.2664,4
33.07,130.16,0.6887,3
33.07,130.43,1.3017,4
33.07,130.44,2.1912,4
33.07,130.45,1.4478,4
33.07,130.46,1.8305,4
33.07,130.47,4.2908,5
33.07,130.48,4.9876,5
33.07,130.49,5.0338,6
33.07,130.5,1.8009,4
33.07,130.51,1.3811,4
33.07,130.52,1.2281,4
33.07,130.53,3.8267,5
